domain,category,emoji,korean_word,korean_pronunciation,korean_definition,korean_part_of_speech,korean_level,english_word,english_pronunciation,english_definition,english_part_of_speech,english_level,japanese_word,japanese_pronunciation,japanese_definition,japanese_part_of_speech,japanese_level,chinese_word,chinese_pronunciation,chinese_definition,chinese_part_of_speech,chinese_level,example_korean,example_english,example_japanese,example_chinese
daily,greeting,👋,안녕하세요,annyeonghaseyo,인사말,interjection,beginner,hello,həˈloʊ,greeting,interjection,beginner,こんにちは,konnichiwa,挨拶,interjection,beginner,你好,nǐ hǎo,问候语,interjection,beginner,안녕하세요. 만나서 반갑습니다.,Hello. Nice to meet you.,こんにちは。はじめまして。,你好。很高兴见到你。
food,fruit,🍎,사과,sagwa,과일의 일종,noun,beginner,apple,ˈæpl,a round fruit with red or green skin,noun,beginner,りんご,ringo,果物の一種,noun,beginner,苹果,píng guǒ,一种水果,noun,beginner,나는 사과를 좋아합니다.,I like apples.,私はりんごが好きです。,我喜欢苹果。
daily,weather,🌧️,비,bi,하늘에서 내리는 물,noun,beginner,rain,reɪn,water that falls from clouds,noun,beginner,雨,ame,空から降る水,noun,beginner,雨,yǔ,从云中落下的水,noun,beginner,오늘은 비가 많이 옵니다.,It's raining a lot today.,今日はたくさん雨が降っています。,今天下了很多雨。
food,vegetable,🍅,토마토,tomato,빨간 채소,noun,beginner,tomato,təˈmeɪtoʊ,a red vegetable,noun,beginner,トマト,tomato,赤い野菜,noun,beginner,番茄,fān qié,一种红色蔬菜,noun,beginner,토마토 샐러드를 만들었어요.,I made a tomato salad.,トマトサラダを作りました。,我做了番茄沙拉。
animal,mammal,🐶,강아지,gangaji,개의 새끼,noun,beginner,puppy,ˈpʌpi,a young dog,noun,beginner,子犬,koinu,犬の赤ちゃん,noun,beginner,小狗,xiǎo gǒu,幼犬,noun,beginner,그 강아지는 너무 귀여워요.,That puppy is so cute.,その子犬はとても可愛いです。,那只小狗很可爱。
daily,time,📅,오늘,oneul,지금의 날짜,noun,beginner,today,təˈdeɪ,the current day,noun,beginner,今日,kyou,現在の日,noun,beginner,今天,jīn tiān,当前的日子,noun,beginner,오늘은 날씨가 좋아요.,Today the weather is nice.,今日は天気がいいです。,今天天气很好。
travel,transportation,🚆,기차,gicha,철로 위를 달리는 대중교통,noun,beginner,train,treɪn,a public transport that runs on rails,noun,beginner,電車,densha,線路の上を走る公共交通機関,noun,beginner,火车,huǒ chē,铁路上行驶的公共交通工具,noun,beginner,기차로 서울에 갈 거예요.,I will go to Seoul by train.,電車でソウルに行きます。,我将乘火车去首尔。
education,subject,🧮,수학,suhak,숫자와 공식을 다루는 학문,noun,beginner,mathematics,ˌmæθəˈmætɪks,the study of numbers and formulas,noun,beginner,数学,suugaku,数字と公式を扱う学問,noun,beginner,数学,shù xué,研究数字和公式的科学,noun,beginner,수학은 제 가장 좋아하는 과목입니다.,Mathematics is my favorite subject.,数学は私の一番好きな科目です。,数学是我最喜欢的学科。
daily,emotion,😊,행복,haengbok,기쁨을 느끼는 상태,noun,beginner,happiness,ˈhæpinəs,state of feeling joy,noun,beginner,幸せ,shiawase,喜びを感じる状態,noun,beginner,幸福,xìng fú,感到喜悦的状态,noun,beginner,행복은 건강에 좋습니다.,Happiness is good for health.,幸せは健康に良いです。,幸福对健康有好处。
food,beverage,☕,커피,keopi,카페인이 들어있는 음료,noun,beginner,coffee,ˈkɔfi,a caffeinated beverage,noun,beginner,コーヒー,koohii,カフェインの入った飲み物,noun,beginner,咖啡,kā fēi,含有咖啡因的饮料,noun,beginner,아침에 커피를 마십니다.,I drink coffee in the morning.,朝にコーヒーを飲みます。,我早上喝咖啡。
daily,family,👪,어머니,eomeoni,여성 부모,noun,beginner,mother,ˈmʌðər,female parent,noun,beginner,母,haha,女性の親,noun,beginner,母亲,mǔ qīn,女性家长,noun,beginner,어머니는 요리를 잘하십니다.,My mother cooks well.,母は料理が上手です。,我母亲做饭很好。 
