domain,category,difficulty,unicode_emoji,color_theme,situation,purpose,korean_word,korean_pronunciation,korean_definition,korean_part_of_speech,korean_synonyms,korean_antonyms,korean_word_family,korean_compound_words,korean_collocations,english_word,english_pronunciation,english_definition,english_part_of_speech,english_synonyms,english_antonyms,english_word_family,english_compound_words,english_collocations,chinese_word,chinese_pronunciation,chinese_definition,chinese_part_of_speech,chinese_synonyms,chinese_antonyms,chinese_word_family,chinese_compound_words,chinese_collocations,japanese_word,japanese_pronunciation,japanese_definition,japanese_part_of_speech,japanese_synonyms,japanese_antonyms,japanese_word_family,japanese_compound_words,japanese_collocations,representative_korean,representative_english,representative_chinese,representative_japanese
daily,greeting,basic,👋,#4CAF50,"polite,social",greeting,안녕,an-nyeong,인사할 때 쓰는 말,명사,"인사,반가움","작별,이별","인사,만남","안녕하세요,안녕히",인사말,hello,/həˈloʊ/,a greeting used when meeting someone,interjection,"hi,greetings","goodbye,farewell","greet,meeting","hello there,say hello","friendly hello,warm hello",你好,nǐ hǎo,见面时的问候语,感叹词,"问候,招呼","再见,告别","问候,见面","你好吗,问好","亲切问候,热情招呼",こんにちは,konnichiwa,人に会った時の挨拶,感動詞,"挨拶,こんばんは","さよなら,別れ","挨拶,出会い","こんにちは,挨拶する","丁寧な挨拶,親しい挨拶",안녕하세요! 만나서 반갑습니다.,Hello! Nice to meet you.,你好！很高兴见到你。,こんにちは！お会いできて嬉しいです。
food,fruit,basic,🍎,#FF5722,"casual,shopping",description,사과,sa-gwa,빨갛고 달콤한 과일,명사,"능금,애플",,"과일,열매","사과나무,사과주스","빨간 사과,달콤한 사과",apple,/ˈæpəl/,a round red or green fruit,noun,"fruit,red fruit",,"fruit,tree","apple tree,apple juice","red apple,sweet apple",苹果,píng guǒ,红色或绿色的圆形水果,名词,"果实,水果",,"水果,果树","苹果树,苹果汁","红苹果,甜苹果",りんご,ringo,赤くて甘い果物,名詞,"果物,フルーツ",,"果実,果樹","りんごの木,りんごジュース","赤いりんご,甘いりんご",이 사과는 정말 달고 맛있어요.,This apple is really sweet and delicious.,这个苹果真的很甜很好吃。,このりんごは本当に甘くて美味しいです。
daily,family,basic,👨‍👩‍👧‍👦,#9C27B0,"home,casual",description,가족,ga-jok,함께 사는 혈연관계의 사람들,명사,"식구,집안","타인,남","친족,혈연","가족여행,가족사진","우리 가족,행복한 가족",family,/ˈfæməli/,a group of people related by blood or marriage,noun,"relatives,household","strangers,outsiders","relation,kinship","family trip,family photo","my family,happy family",家庭,jiā tíng,血缘关系的人组成的群体,名词,"家人,亲属","外人,陌生人","亲戚,血缘","家庭旅行,家庭照片","我的家庭,幸福家庭",家族,kazoku,血縁関係にある人たちの集まり,名詞,"家庭,親族","他人,外部","親戚,血縁","家族旅行,家族写真","私の家族,幸せな家族",우리 가족은 매우 화목합니다.,Our family is very harmonious.,我们家庭非常和睦。,私たちの家族はとても仲が良いです。
business,office,intermediate,💼,#2196F3,"work,formal",description,회의,hoe-ui,여러 사람이 모여 의논하는 것,명사,"모임,상의","단독,개별","논의,협의","회의실,회의록","중요한 회의,긴급 회의",meeting,/ˈmiːtɪŋ/,a gathering of people to discuss something,noun,"conference,discussion","isolation,individual","assembly,gathering","meeting room,meeting minutes","important meeting,urgent meeting",会议,huì yì,多人聚集讨论的活动,名词,"会面,讨论","单独,个人","集会,聚会","会议室,会议记录","重要会议,紧急会议",会議,kaigi,複数の人が集まって話し合うこと,名詞,"ミーティング,討議","単独,個別","話し合い,協議","会議室,議事録","重要な会議,緊急会議",오늘 오후에 중요한 회의가 있습니다.,There is an important meeting this afternoon.,今天下午有重要会议。,今日の午後に重要な会議があります。
education,learning,intermediate,📚,#FF9800,"school,formal",instruction,공부,gong-bu,지식이나 기술을 배우는 것,명사,"학습,수학","놀이,휴식","학문,교육","공부방,공부시간","열심히 공부,집중 공부",study,/ˈstʌdi/,the activity of learning about something,noun,"learning,education","play,rest","knowledge,education","study room,study time","hard study,focused study",学习,xué xí,获得知识或技能的活动,名词,"学问,教育","玩耍,休息","知识,教育","学习室,学习时间","努力学习,专心学习",勉強,benkyō,知識や技術を身につけること,名詞,"学習,教育","遊び,休憩","学問,教育","勉強部屋,勉強時間","一生懸命勉強,集中して勉強",시험을 위해 열심히 공부해야 합니다.,I need to study hard for the exam.,为了考试需要努力学习。,試験のために一生懸命勉強しなければなりません。
health,exercise,basic,🏃‍♂️,#4CAF50,"public,casual",description,운동,un-dong,몸을 움직여 건강을 유지하는 활동,명사,"체육,스포츠","휴식,안정","활동,건강","운동장,운동복","규칙적인 운동,아침 운동",exercise,/ˈeksərsaɪz/,physical activity to stay healthy,noun,"workout,fitness","rest,inactivity","activity,health","exercise field,exercise clothes","regular exercise,morning exercise",运动,yùn dòng,为了健康而进行的身体活动,名词,"体育,锻炼","休息,静止","活动,健康","运动场,运动服","规律运动,晨练",運動,undō,健康のために体を動かすこと,名詞,"体育,スポーツ","休息,安静","活動,健康","運動場,運動着","規則的な運動,朝の運動",건강을 위해 매일 운동을 합니다.,I exercise every day for my health.,为了健康每天都运动。,健康のために毎日運動をします。
travel,transportation,basic,🚗,#607D8B,"travel,casual",description,자동차,ja-dong-cha,엔진으로 움직이는 교통수단,명사,"차,승용차","도보,걸음","교통,차량","자동차보험,자동차정비","새 자동차,빠른 자동차",car,/kɑːr/,a motor vehicle for transportation,noun,"automobile,vehicle","walking,foot","transport,vehicle","car insurance,car repair","new car,fast car",汽车,qì chē,用发动机驱动的交通工具,名词,"车辆,轿车","步行,徒步","交通,车辆","汽车保险,汽车维修","新汽车,快速汽车",自動車,jidōsha,エンジンで動く交通手段,名詞,"車,クルマ","徒歩,歩き","交通,車両","自動車保険,自動車整備","新しい自動車,速い自動車",새로 산 자동차로 여행을 갔습니다.,I went on a trip with my new car.,用新买的汽车去旅行了。,新しく買った自動車で旅行に行きました。
technology,communication,intermediate,📱,#3F51B5,"online,casual",description,휴대폰,hyu-dae-pon,들고 다니며 통화할 수 있는 전화기,명사,"핸드폰,스마트폰","유선전화,집전화","통신,전화","휴대폰케이스,휴대폰번호","새 휴대폰,스마트 휴대폰",phone,/foʊn/,a portable device for making calls,noun,"mobile,smartphone","landline,home phone","communication,telephone","phone case,phone number","new phone,smart phone",手机,shǒu jī,可以随身携带的通讯设备,名词,"移动电话,智能手机","固定电话,座机","通讯,电话","手机壳,手机号码","新手机,智能手机",携帯電話,keitai denwa,持ち運べる通話機器,名詞,"ケータイ,スマホ","固定電話,家の電話","通信,電話","携帯ケース,携帯番号","新しい携帯,スマート携帯",휴대폰으로 친구에게 전화를 걸었습니다.,I called my friend on my phone.,用手机给朋友打电话了。,携帯電話で友達に電話をかけました。
entertainment,music,basic,🎵,#E91E63,"social,casual",emotion,음악,eum-ak,소리로 만든 예술 작품,명사,"노래,멜로디","소음,잡음","예술,소리","음악회,음악가","좋은 음악,클래식 음악",music,/ˈmjuːzɪk/,sounds arranged in a pleasing way,noun,"song,melody","noise,silence","art,sound","music concert,musician","good music,classical music",音乐,yīn yuè,用声音创作的艺术,名词,"歌曲,旋律","噪音,寂静","艺术,声音","音乐会,音乐家","好音乐,古典音乐",音楽,ongaku,音で作られた芸術作品,名詞,"歌,メロディー","騒音,静寂","芸術,音","音楽会,音楽家","良い音楽,クラシック音楽",아름다운 음악을 들으며 휴식을 취했습니다.,I relaxed while listening to beautiful music.,听着美丽的音乐休息了。,美しい音楽を聞きながら休憩しました。
other,emotion,intermediate,😊,#FFC107,"home,social",emotion,행복,haeng-bok,기쁘고 만족스러운 마음 상태,명사,"기쁨,즐거움","슬픔,불행","감정,마음","행복감,행복지수","진정한 행복,작은 행복",happiness,/ˈhæpɪnəs/,a feeling of joy and contentment,noun,"joy,pleasure","sadness,misery","emotion,feeling","sense of happiness,happiness index","true happiness,small happiness",幸福,xìng fú,快乐满足的心理状态,名词,"快乐,愉悦","悲伤,不幸","情感,心情","幸福感,幸福指数","真正的幸福,小小的幸福",幸せ,shiawase,喜びと満足感のある心の状態,名詞,"喜び,楽しさ","悲しみ,不幸","感情,気持ち","幸福感,幸せ指数","本当の幸せ,小さな幸せ",가족과 함께하는 시간이 가장 행복합니다.,The time spent with family is the happiest.,和家人在一起的时间最幸福。,家族と一緒にいる時間が一番幸せです。 
